claim_id,applicant_name,state,district,village,claim_type,claimed_area,recorded_area,submission_date,status,days_pending,latitude,longitude
FRA-1039,Ramesh Pradhan,Jharkhand,Dumka,Bhadrapur,Individual,1.47,1.53,2026-08-17,Approved,0,24.177004748060597,87.24988743168065
FRA-1040,Kamla Uraon,Maharashtra,Nandurbar,Example Village,Community,7.57,7.58,2026-08-25,Approved,0,21.275519764918,74.31318932147107
FRA-1041,Phulo Maravi,Jharkhand,Simdega,Durgapur,Individual,3.01,2.9,2026-08-08,Approved,0,22.56829318089697,84.54076481025874
FRA-1042,Birsa Naik,Chhattisgarh,Dhamtari,Devgaon,Individual,7.72,8.01,2025-08-31,Pending,353,20.743777731291193,81.4976158777272
FRA-1043,Lakshmi Bhilla,Madhya Pradesh,Dindori,Chandapur,Individual,2.9,2.65,2026-08-24,Approved,0,22.95516438700177,81.1116834500799
FRA-1044,Suresh Kumar,Jharkhand,Simdega,Rampur,Community,13.58,5.43,2026-01-31,Pending,204,22.628740497909046,84.57274350164917
FRA-1045,Pooja Bhoi,Chhattisgarh,Surguja,Amrapali,Individual,6.19,2.48,2026-07-23,Pending,27,23.210041501239257,83.17557158461227
FRA-1046,Birsa Singh,Odisha,Sundargarh,Chandapur,Individual,2.75,2.83,2026-04-07,Pending,135,22.059808340474664,84.00686217043972
FRA-1047,Phulo Gond,Madhya Pradesh,Mandla,Devgaon,Community,5.92,5.64,2026-08-25,Rejected,0,22.665534759491948,80.35465389695774
FRA-1048,Babu Naik,Odisha,Rayagada,Durgapur,Individual,3.99,4.05,2026-08-22,Approved,0,19.18698942170714,83.42264706725192
FRA-1049,Birsa Singh,Odisha,Koraput,Kalyanpur,Individual,12.38,12.28,2026-08-18,Approved,0,18.84340846364228,82.69742152886475
FRA-1050,Vijay Soren,Odisha,Mayurbhanj,Sunderpur,Community,12.15,12.06,2026-08-24,Approved,0,21.98298801347198,86.83067343054923
FRA-1051,Kanhu Soren,Madhya Pradesh,Mandla,Kalyanpur,Community,1.7,0.85,2026-08-20,Approved,0,22.649463907814173,80.28842073853265
FRA-1052,Sunita Munda,Odisha,Mayurbhanj,Bhadrapur,Community,6.77,6.8,2026-08-22,Approved,0,22.003586488069402,86.68173499947721
FRA-1053,Jano Gond,Madhya Pradesh,Chhindwara,Bhadrapur,Individual,11.65,11.47,2026-08-18,Approved,0,22.092296428620536,78.87583881668905
FRA-1054,Rajesh Rathwa,Maharashtra,Gadchiroli,Devgaon,Individual,10.27,10.15,2026-08-12,Approved,0,20.192390835118022,79.92231329038319
FRA-1055,Suresh Singh,Chhattisgarh,Surguja,Durgapur,Individual,11.85,4.74,2026-08-11,Approved,0,23.21488482125818,83.24116456175726
FRA-1056,Sidhu Pradhan,Maharashtra,Yavatmal,Devgaon,Individual,14.3,14.41,2026-08-15,Approved,0,20.37961917073707,78.22849115251263
FRA-1057,Manoj Bhilla,Madhya Pradesh,Chhindwara,Rampur,Community,10.83,4.33,2026-08-11,Approved,0,22.110339744447984,79.03358317030161
FRA-1058,Devi Maravi,Maharashtra,Yavatmal,Chandapur,Community,7.94,7.67,2026-08-25,Approved,0,20.459388736608933,78.04119368541697
FRA-1059,Pooja Pradhan,Maharashtra,Palghar,Amrapali,Individual,11.5,11.66,2026-07-11,Pending,38,19.695081219970422,72.77937061964064
FRA-1060,Birsa Soren,Maharashtra,Chandrapur,Sunderpur,Individual,1.71,1.61,2026-07-26,Pending,24,19.94567340301793,79.32209929156704
FRA-1061,Suresh Patel,Madhya Pradesh,Dindori,Sitapur,Individual,2.59,2.76,2026-08-13,Rejected,0,22.963986520547643,81.0823077490812
FRA-1062,Ramesh Soren,Odisha,Kandhamal,Kalyanpur,Individual,6.6,6.79,2026-08-12,Approved,0,20.181131657800076,84.07302118272898
FRA-1063,Radha Rathwa,Jharkhand,Simdega,Devgaon,Community,9.66,9.59,2026-08-05,Approved,0,22.58152333414508,84.58471215310199
FRA-1064,Pooja Hembram,Jharkhand,Dumka,Example Village,Individual,6.73,6.72,2026-08-15,Rejected,0,24.23407115606243,87.24239011250185
FRA-1065,Kamla Kumar,Odisha,Mayurbhanj,Rampur,Individual,11.37,11.35,2026-08-16,Approved,0,22.013065464558814,86.6881503329934
FRA-1066,Kamla Pradhan,Madhya Pradesh,Chhindwara,Devgaon,Community,2.09,2.18,2026-08-14,Approved,0,22.08964357020583,78.93349797464455
FRA-1067,Devi Uraon,Odisha,Rayagada,Devgaon,Community,6.73,7.03,2026-08-25,Approved,0,19.239511610926293,83.50456358606827
FRA-1068,Ramesh Bhoi,Chhattisgarh,Kanker,Amrapali,Community,13.88,13.97,2025-10-01,Pending,318,20.312602893895274,81.47762488099386
FRA-1069,Pooja Tudu,Chhattisgarh,Kanker,Durgapur,Community,2.42,2.38,2026-08-23,Approved,0,20.32578663068138,81.46192757390236
FRA-1070,Somnath Singh,Jharkhand,Simdega,Chandapur,Community,6.1,6.05,2026-04-13,Pending,124,22.527141282228666,84.47406816957145
FRA-1071,Manoj Singh,Chhattisgarh,Dhamtari,Sunderpur,Community,11.34,11.48,2026-08-23,Approved,0,20.728924266898122,81.61211482227137
FRA-1072,Babu Tudu,Madhya Pradesh,Mandla,Chhota Nagpur,Individual,9.07,9.06,2026-08-17,Approved,0,22.528000699129905,80.41392615625055
FRA-1073,Rajesh Rathwa,Odisha,Rayagada,Devgaon,Community,10.96,11.11,2026-08-10,Approved,0,19.177268436612085,83.41796519037861
FRA-1074,Kamla Pradhan,Chhattisgarh,Kanker,Panchvati,Individual,2.72,2.84,2026-08-08,Approved,0,20.17061455551088,81.53442658514841
FRA-1075,Anita Soren,Odisha,Rayagada,Sitapur,Individual,2.64,2.7,2026-04-07,Pending,121,19.133581553396457,83.36988836620766
FRA-1076,Lakshmi Pradhan,Chhattisgarh,Dhamtari,Amrapali,Individual,9.84,15.74,2026-08-16,Approved,0,20.74495981013487,81.534440044549
FRA-1077,Ramesh Bhilla,Chhattisgarh,Rajnandgaon,Sunderpur,Individual,5.08,4.86,2026-08-20,Approved,0,21.035217716681117,80.99288344099743
FRA-1078,Jano Hembram,Jharkhand,Latehar,Chandapur,Community,9.4,20.68,2026-08-07,Approved,0,23.756530999012217,84.4288477942572
FRA-1079,Anita Gond,Chhattisgarh,Surguja,Panchvati,Community,7.41,7.21,2026-08-11,Approved,0,23.02472381251944,83.25506549554278
FRA-1080,Manoj Rathwa,Jharkhand,Latehar,Devgaon,Community,10.33,10.38,2026-08-25,Approved,0,23.754310903671843,84.51498525021509
FRA-1081,Sidhu Hembram,Jharkhand,Dumka,Kalyanpur,Individual,2.47,0.99,2026-08-12,Approved,0,24.26673704845442,87.16612612559457
FRA-1082,Sunita Kumar,Jharkhand,Gumla,Chandapur,Individual,10.35,10.31,2026-04-20,Pending,122,23.028179811383847,84.44980845537211
FRA-1083,Babu Bhilla,Chhattisgarh,Rajnandgaon,Sunderpur,Individual,8.57,8.38,2026-08-06,Approved,0,21.11625300512722,81.05727932689238
FRA-1084,Vijay Rathwa,Chhattisgarh,Surguja,Amrapali,Individual,5.03,4.8,2026-08-13,Approved,0,23.210309082272893,83.2132896675203
FRA-1085,Manoj Maravi,Maharashtra,Gadchiroli,Durgapur,Individual,2.22,4.88,2026-08-21,Approved,0,20.14163834486807,80.09635914405058
FRA-1086,Gautam Singh,Chhattisgarh,Dhamtari,Kalyanpur,Community,10.7,10.97,2026-03-25,Pending,144,20.78395169210528,81.50506142324186
FRA-1087,Pooja Rathwa,Jharkhand,Dumka,Kalyanpur,Community,5.77,2.88,2026-08-25,Approved,0,24.23519329346148,87.2024241598391
FRA-1088,Gautam Naik,Maharashtra,Gadchiroli,Durgapur,Community,8.07,8.11,2026-08-11,Approved,0,20.245714556966043,80.07488013336507
FRA-1089,Pooja Bhoi,Maharashtra,Chandrapur,Amrapali,Community,13.32,13.21,2026-04-07,Pending,135,19.894600551491155,79.35811814087592
FRA-1090,Jano Gond,Odisha,Mayurbhanj,Chandapur,Individual,9.35,9.3,2026-08-25,Approved,0,22.011077017478538,86.83065696067925
FRA-1091,Sidhu Kumar,Madhya Pradesh,Balaghat,Sitapur,Community,7.14,6.91,2026-08-24,Approved,0,21.891644533057764,80.25028925217146
FRA-1092,Devi Hembram,Chhattisgarh,Surguja,Example Village,Individual,5.18,5.34,2026-04-01,Pending,129,23.095739254227485,83.25683835190199
FRA-1093,Radha Soren,Maharashtra,Nandurbar,Example Village,Community,3.49,3.59,2026-08-25,Approved,0,21.345182419464276,74.29678939647896
FRA-1094,Anita Kumar,Jharkhand,West Singhbhum,Chhota Nagpur,Individual,7.09,7.09,2026-08-16,Approved,0,22.47006051080247,85.73088123001237
FRA-1095,Sunita Gond,Maharashtra,Nandurbar,Panchvati,Community,2.28,2.02,2026-08-09,Approved,0,21.343876229388435,74.1694361147656
FRA-1096,Gautam Bhilla,Maharashtra,Gadchiroli,Panchvati,Individual,2.17,2.09,2026-07-06,Pending,32,20.128401047480452,80.09136069829131
FRA-1097,Kanhu Kumar,Chhattisgarh,Dhamtari,Sitapur,Individual,1.14,1.82,2026-08-08,Approved,0,20.629795957373958,81.64841097980711
FRA-1098,Babu Bhilla,Odisha,Sundargarh,Durgapur,Individual,12.41,12.4,2026-08-18,Approved,0,22.113007179693636,84.06906370659394
FRA-1099,Pooja Rathwa,Odisha,Rayagada,Rampur,Community,4.39,4.48,2026-07-01,Pending,50,19.134290207614058,83.50251165927439
FRA-1100,Jano Maravi,Jharkhand,Simdega,Chandapur,Individual,8.05,7.91,2026-08-16,Approved,0,22.65670686199713,84.59918316430128
FRA-1101,Vijay Bhilla,Chhattisgarh,Kanker,Durgapur,Individual,2.52,2.36,2026-08-24,Approved,0,20.352463876752452,81.5031261102247
FRA-1102,Kanhu Kumar,Jharkhand,West Singhbhum,Durgapur,Individual,14.35,14.06,2026-08-12,Approved,0,22.53257325943763,85.72473782105547
FRA-1103,Phulo Tudu,Maharashtra,Yavatmal,Devgaon,Community,6.98,7.05,2026-08-21,Approved,0,20.300677284162614,78.13991265474516
FRA-1104,Ramesh Pradhan,Odisha,Sundargarh,Devgaon,Individual,10.62,4.25,2026-08-21,Rejected,0,22.072771312337135,83.9974512584932
FRA-1105,Birsa Bhoi,Chhattisgarh,Surguja,Amrapali,Community,7.81,7.74,2026-08-10,Approved,0,23.17816621480043,83.22372659045092
FRA-1106,Radha Rathwa,Jharkhand,Simdega,Durgapur,Community,9.06,8.78,2026-05-12,Pending,89,22.54734233003163,84.52955558625523
FRA-1107,Lakshmi Bhoi,Jharkhand,Simdega,Chandapur,Individual,13.95,13.97,2026-03-31,Pending,143,22.61192177286054,84.52879818406173
FRA-1108,Babu Singh,Maharashtra,Nandurbar,Devgaon,Individual,11.55,11.65,2026-08-11,Approved,0,21.356693003304816,74.24775068256069
FRA-1109,Devi Soren,Maharashtra,Chandrapur,Example Village,Community,7.26,7.02,2026-06-28,Pending,47,20.015624025095658,79.2639452986299
FRA-1110,Kanhu Munda,Jharkhand,West Singhbhum,Kalyanpur,Community,13.13,13.02,2026-04-09,Pending,127,22.60951425164776,85.81014668007467
FRA-1111,Kanhu Patel,Chhattisgarh,Kanker,Sitapur,Individual,7.96,8.22,2026-08-17,Approved,0,20.252949991716633,81.4096426776267
FRA-1112,Phulo Maravi,Madhya Pradesh,Chhindwara,Sunderpur,Individual,9.95,9.79,2026-08-25,Approved,0,22.007213624919927,78.85597273909679
FRA-1113,Devi Singh,Odisha,Koraput,Example Village,Community,10.86,11.06,2026-06-06,Pending,63,18.739496378219332,82.65985007479026
FRA-1114,Kanhu Naik,Jharkhand,Gumla,Rampur,Individual,7.65,7.63,2026-08-15,Rejected,0,23.107280707819136,84.50628682018446
FRA-1115,Sunita Bhilla,Jharkhand,Dumka,Sitapur,Individual,10.35,10.09,2026-08-22,Approved,0,24.230205399688668,87.31580826167473
FRA-1116,Sidhu Pradhan,Madhya Pradesh,Balaghat,Rampur,Community,1.29,1.56,2026-04-06,Pending,127,21.901913388311815,80.21280196331772
FRA-1117,Jano Uraon,Odisha,Kandhamal,Sunderpur,Community,7.68,7.4,2026-08-09,Approved,0,20.236491674899938,84.05452655577194
FRA-1118,Pooja Pradhan,Jharkhand,Latehar,Example Village,Community,14.39,14.55,2026-08-16,Approved,0,23.818663620595924,84.51952632411864
FRA-1119,Gautam Pradhan,Jharkhand,West Singhbhum,Sitapur,Individual,7.15,7.37,2026-08-25,Rejected,0,22.6203321014906,85.86928435242976
FRA-1120,Sidhu Rathwa,Madhya Pradesh,Mandla,Bhadrapur,Community,8.83,9.06,2026-08-08,Approved,0,22.51437083057073,80.40656209339436
FRA-1121,Jano Patel,Odisha,Koraput,Panchvati,Individual,2.52,2.4,2026-04-21,Pending,125,18.753720243736545,82.70417526375272
FRA-1122,Suresh Tudu,Jharkhand,West Singhbhum,Rampur,Individual,6.74,6.58,2026-01-10,Pending,226,22.4723335604383,85.87995565994602
FRA-1123,Birsa Uraon,Maharashtra,Chandrapur,Rampur,Individual,6.36,2.54,2026-08-15,Approved,0,19.899592489844363,79.28547087819852
FRA-1124,Anita Bhilla,Jharkhand,West Singhbhum,Devgaon,Community,10.38,10.34,2026-08-17,Approved,0,22.53322173265712,85.85789541694768
FRA-1125,Suresh Gond,Odisha,Rayagada,Example Village,Community,5.73,5.53,2026-08-11,Approved,0,19.24562939590024,83.42100080244457
FRA-1126,Radha Munda,Madhya Pradesh,Chhindwara,Sitapur,Community,4.06,4.05,2025-10-20,Pending,290,21.960550369794284,78.95623623338379
FRA-1127,Suresh Hembram,Odisha,Mayurbhanj,Bhadrapur,Individual,9.24,8.96,2026-08-10,Approved,0,22.01476373624088,86.79307956345703
FRA-1128,Sunita Singh,Madhya Pradesh,Chhindwara,Rampur,Community,2.33,2.39,2026-08-17,Approved,0,21.97257415574067,78.84010948004405
FRA-1129,Kamla Hembram,Jharkhand,Dumka,Devgaon,Individual,6.63,6.89,2026-08-09,Rejected,0,24.181170658216885,87.29470973553663
FRA-1130,Phulo Bhilla,Odisha,Sundargarh,Chandapur,Community,10.24,10.26,2026-08-10,Approved,0,22.08177569091461,84.04657083367381
FRA-1131,Jano Tudu,Maharashtra,Gadchiroli,Devgaon,Community,10.28,10.47,2026-08-11,Approved,0,20.237678753080523,80.08179410260011
FRA-1132,Lakshmi Hembram,Chhattisgarh,Rajnandgaon,Amrapali,Community,14.15,14.14,2025-12-23,Pending,226,21.006235044233335,81.05617514413353
FRA-1133,Devi Gond,Maharashtra,Nandurbar,Chandapur,Community,6.28,6.35,2026-08-25,Approved,0,21.329091127248464,74.28625828572015
FRA-1134,Gautam Bhilla,Odisha,Koraput,Example Village,Community,12.67,12.61,2026-08-24,Approved,0,18.72261814338117,82.62671609082126
FRA-1135,Ramesh Patel,Jharkhand,Dumka,Example Village,Individual,1.98,2.21,2025-10-25,Pending,301,24.27871950875379,87.33526793771499
FRA-1136,Devi Soren,Maharashtra,Gadchiroli,Bhadrapur,Community,5.13,4.92,2026-08-06,Approved,0,20.209854427898236,79.99301512485206
FRA-1137,Anita Singh,Odisha,Koraput,Chandapur,Individual,13.2,13.35,2026-03-29,Pending,149,18.898692782092333,82.67924147485512
FRA-1138,Sidhu Patel,Jharkhand,Latehar,Sitapur,Community,12.57,12.57,2026-08-08,Approved,0,23.73940092765071,84.52000767563827
FRA-1139,Sunita Singh,Madhya Pradesh,Mandla,Chhota Nagpur,Individual,10.06,10.2,2026-08-07,Approved,0,22.604124498296596,80.33914270481951
FRA-1140,Suresh Rathwa,Maharashtra,Gadchiroli,Chandapur,Community,4.76,4.96,2025-09-13,Pending,339,20.146549671939894,80.02701830273955
FRA-1141,Birsa Singh,Jharkhand,Simdega,Amrapali,Community,6.09,6.08,2026-08-18,Approved,0,22.52470819535692,84.50998519732467
FRA-1142,Vijay Bhoi,Madhya Pradesh,Chhindwara,Amrapali,Individual,2.69,2.71,2026-08-23,Approved,0,22.082394903162765,78.89388872787426
FRA-1143,Anita Pradhan,Maharashtra,Yavatmal,Sitapur,Community,14.45,7.22,2026-08-10,Rejected,0,20.485679096961615,78.1951027002207
FRA-1144,Devi Hembram,Odisha,Koraput,Durgapur,Community,9.91,9.73,2026-01-15,Pending,203,18.733433424997415,82.78441887185107
FRA-1145,Anita Rathwa,Madhya Pradesh,Dhar,Example Village,Individual,6.99,6.96,2026-08-08,Approved,0,22.544561163899907,75.26362193857783
FRA-1146,Suresh Patel,Odisha,Mayurbhanj,Durgapur,Individual,2.25,4.95,2026-08-22,Approved,0,21.905991039011546,86.66590241214548
FRA-1147,Vijay Pradhan,Maharashtra,Yavatmal,Amrapali,Individual,13.75,22.0,2026-08-13,Approved,0,20.41323061648193,78.21372468555553
FRA-1148,Lakshmi Kumar,Jharkhand,Simdega,Sunderpur,Community,6.56,6.41,2026-08-14,Rejected,0,22.630173601510457,84.5755232818998
FRA-1149,Kamla Singh,Maharashtra,Chandrapur,Rampur,Individual,7.41,7.32,2026-08-15,Approved,0,19.983470129541328,79.33549121992934
FRA-1150,Kanhu Singh,Odisha,Rayagada,Example Village,Individual,14.64,5.86,2026-08-11,Approved,0,19.25221709892522,83.36236104065631
FRA-1151,Gautam Maravi,Chhattisgarh,Dhamtari,Rampur,Community,10.94,11.1,2026-08-21,Approved,0,20.72322966033848,81.58638337459087
FRA-1152,Sunita Munda,Jharkhand,Dumka,Durgapur,Community,5.28,5.13,2026-08-22,Approved,0,24.258385993348057,87.2981461551041
FRA-1153,Gautam Singh,Chhattisgarh,Rajnandgaon,Devgaon,Community,13.9,14.1,2026-08-08,Approved,0,21.08408178401707,80.94495690121238
FRA-1154,Devi Bhilla,Chhattisgarh,Dhamtari,Chhota Nagpur,Community,3.99,3.83,2026-08-14,Approved,0,20.666926561972844,81.59320397405867
FRA-1155,Gautam Soren,Maharashtra,Palghar,Amrapali,Community,12.43,12.16,2026-08-22,Rejected,0,19.71289596082093,72.68663367872115
FRA-1156,Vijay Bhoi,Madhya Pradesh,Dhar,Sunderpur,Community,8.66,8.6,2026-08-16,Approved,0,22.684413197642193,75.36946831018817
FRA-1157,Phulo Tudu,Jharkhand,Dumka,Durgapur,Individual,9.66,9.88,2026-08-18,Rejected,0,24.326464563401878,87.31692376691376
FRA-1158,Gautam Soren,Madhya Pradesh,Dindori,Durgapur,Community,9.45,9.6,2026-08-15,Approved,0,22.932547189406232,81.0985125192589
FRA-1159,Pooja Munda,Odisha,Kandhamal,Bhadrapur,Community,8.1,7.94,2026-08-14,Approved,0,20.27660656663158,83.9874078668718
FRA-1160,Sunita Soren,Odisha,Rayagada,Chandapur,Community,10.0,9.87,2026-08-19,Rejected,0,19.165590810500447,83.34597231464787
FRA-1161,Phulo Munda,Madhya Pradesh,Dindori,Amrapali,Community,13.17,13.17,2026-04-08,Pending,130,22.931941730369555,81.07433036146948
FRA-1162,Sidhu Bhilla,Jharkhand,Gumla,Bhadrapur,Individual,7.3,3.65,2026-08-13,Approved,0,23.06972946298066,84.48202771843096
FRA-1163,Babu Singh,Chhattisgarh,Kanker,Chandapur,Individual,11.29,11.24,2026-08-11,Approved,0,20.177681719113355,81.58961896712808
FRA-1164,Ramesh Bhilla,Odisha,Mayurbhanj,Panchvati,Community,10.58,10.67,2026-08-19,Rejected,0,21.8598872579806,86.6794221129016
FRA-1165,Suresh Gond,Odisha,Rayagada,Chhota Nagpur,Individual,11.57,11.8,2026-08-06,Approved,0,19.215925532220332,83.47081416471573
FRA-1166,Babu Patel,Jharkhand,Simdega,Bhadrapur,Individual,1.24,1.02,2026-08-25,Approved,0,22.666591465051905,84.43696379511891
FRA-1167,Kanhu Uraon,Maharashtra,Gadchiroli,Example Village,Individual,9.04,9.19,2026-04-05,Pending,140,20.09611391203398,79.96013248496806
FRA-1168,Lakshmi Bhilla,Jharkhand,Dumka,Amrapali,Individual,1.51,1.39,2026-08-05,Approved,0,24.17424565625342,87.31622798669135
FRA-1169,Babu Bhilla,Madhya Pradesh,Balaghat,Sunderpur,Individual,13.96,13.72,2026-08-22,Approved,0,21.780523487003663,80.11074915773831
FRA-1170,Kamla Naik,Chhattisgarh,Dhamtari,Example Village,Community,12.47,12.58,2026-08-06,Approved,0,20.801075743961885,81.45475648179637
FRA-1171,Rajesh Patel,Madhya Pradesh,Chhindwara,Chandapur,Individual,12.01,11.93,2026-08-23,Approved,0,22.07312377291925,78.89375639627276
FRA-1172,Kamla Tudu,Madhya Pradesh,Dhar,Amrapali,Individual,9.86,9.57,2026-05-13,Pending,95,22.584990887640625,75.37908972380448
FRA-1173,Somnath Hembram,Chhattisgarh,Surguja,Devgaon,Community,14.43,14.31,2026-08-14,Approved,0,23.202220855561645,83.2294608122236
FRA-1174,Ramesh Hembram,Maharashtra,Nandurbar,Sunderpur,Community,11.1,10.97,2026-05-21,Pending,85,21.462408315396832,74.25692709165092
FRA-1175,Suresh Munda,Odisha,Sundargarh,Sitapur,Individual,13.61,13.72,2026-08-13,Approved,0,22.125514971713137,84.04856913024194
FRA-1176,Babu Pradhan,Madhya Pradesh,Mandla,Rampur,Community,6.68,14.7,2026-04-02,Pending,143,22.544692661023824,80.39759822266797
FRA-1177,Babu Soren,Maharashtra,Chandrapur,Sitapur,Individual,11.98,11.8,2026-08-20,Approved,0,20.037295100453274,79.22220811671991
FRA-1178,Devi Singh,Chhattisgarh,Bastar,Sunderpur,Individual,11.31,11.06,2026-08-06,Approved,0,19.133197867215312,81.9979169133734
FRA-1179,Manoj Hembram,Odisha,Koraput,Panchvati,Community,9.55,9.82,2026-08-18,Approved,0,18.853891506678945,82.65899971357234
FRA-1180,Jano Rathwa,Chhattisgarh,Kanker,Sunderpur,Community,7.77,7.62,2026-08-09,Approved,0,20.199561091729173,81.53065810186199
FRA-1181,Ramesh Soren,Jharkhand,Latehar,Amrapali,Community,13.31,5.32,2026-08-12,Approved,0,23.820808697469268,84.53675172336511
